,title,department,location,date_added,link
0,DE-Operations Expert (m/f/d),Sales and Business Development,Various Locations within  Germany ,"Oct 24, 2022",https://jobs.apple.com/en-us/details/114438037/de-operations-expert-m-f-d?team=SLDEV
1,SOC Digital Design Intern,Hardware,Munich,"Oct 21, 2022",https://jobs.apple.com/en-us/details/200308667/soc-digital-design-intern?team=HRDWR
2,Analog Mixed Signal Design Verification Engineer,Hardware,Munich,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200289056/analog-mixed-signal-design-verification-engineer?team=HRDWR
3,PMU Analog Mixed-Signal Design Verification Intern (m/f/d),Hardware,Nabern,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200433441/pmu-analog-mixed-signal-design-verification-intern-m-f-d?team=HRDWR
4,Design Verification Intern (m/f/d),Hardware,Munich,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200414977/design-verification-intern-m-f-d?team=HRDWR
5,Analog IC Product Engineer (m/f/d),Hardware,Nabern,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200421789/analog-ic-product-engineer-m-f-d?team=HRDWR
6,Digital Designer - Power Management (m/f/d),Hardware,Nabern,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200371602/digital-designer-power-management-m-f-d?team=HRDWR
7,"AI/ML - Intern (Engineering Program Management, MLPT",Software and Services,Heidelberg,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200411357/ai-ml-intern-engineering-program-management-mlpt?team=SFTWR
8,Digital/Mixed-Signal Design and Verification Engineer (m/f/d),Hardware,Munich,"Oct 18, 2022",https://jobs.apple.com/en-us/details/200436589/digital-mixed-signal-design-and-verification-engineer-m-f-d?team=HRDWR
9,"SWE - Modem System Test Engineer (Functional), WTE",Software and Services,Munich,"Oct 18, 2022",https://jobs.apple.com/en-us/details/200431398/swe-modem-system-test-engineer-functional-wte?team=SFTWR
10,QA Software Engineer - Audio,Software and Services,Munich,"Oct 17, 2022",https://jobs.apple.com/en-us/details/200436009/qa-software-engineer-audio?team=SFTWR
11,AMS Lab Validation Intern (m/f/d),Hardware,Munich,"Oct 17, 2022",https://jobs.apple.com/en-us/details/200434168/ams-lab-validation-intern-m-f-d?team=HRDWR
12,Cellular Performance Engineer,Software and Services,Munich,"Oct 14, 2022",https://jobs.apple.com/en-us/details/200433299/cellular-performance-engineer?team=SFTWR
13,Embedded 5G/4G Cellular Physical Layer Firmware Engineer (m/f/d),Hardware,Munich,"Oct 13, 2022",https://jobs.apple.com/en-us/details/200222334/embedded-5g-4g-cellular-physical-layer-firmware-engineer-m-f-d?team=HRDWR
14,Formal Verification Technical Lead,Hardware,Munich,"Oct 11, 2022",https://jobs.apple.com/en-us/details/200433766/formal-verification-technical-lead?team=HRDWR
15,AR/VR Connectivity Research Engineer,Machine Learning and AI,Munich,"Oct 10, 2022",https://jobs.apple.com/en-us/details/200425203/ar-vr-connectivity-research-engineer?team=MLAI
16,"AI/ML - Annotation Analyst, German Language",Machine Learning and AI,Berlin,"Oct 7, 2022",https://jobs.apple.com/en-us/details/200359759/ai-ml-annotation-analyst-german-language?team=MLAI
17,Product Engineer (m/f/d),Hardware,Munich,"Oct 5, 2022",https://jobs.apple.com/en-us/details/200298815/product-engineer-m-f-d?team=HRDWR
18,Cellular Platform Architecture Internship,Hardware,Munich,"Oct 5, 2022",https://jobs.apple.com/en-us/details/200422452/cellular-platform-architecture-internship?team=HRDWR
19,RF Systems Engineer (DSP) (m/f/d),Hardware,Munich,"Oct 4, 2022",https://jobs.apple.com/en-us/details/200430168/rf-systems-engineer-dsp-m-f-d?team=HRDWR
20,RF/Mixed-Signal Test Development Engineer - ATE,Hardware,Munich,"Oct 4, 2022",https://jobs.apple.com/en-us/details/200304429/rf-mixed-signal-test-development-engineer-ate?team=HRDWR
21,"SWE - Cellular Protocol Development Engineer, WTE",Software and Services,Munich,"Sep 30, 2022",https://jobs.apple.com/en-us/details/200237231/swe-cellular-protocol-development-engineer-wte?team=SFTWR
22,"SW Development Automation Engineer, Wireless Technologies & Ecosystems",Software and Services,Munich,"Sep 29, 2022",https://jobs.apple.com/en-us/details/200417383/sw-development-automation-engineer-wireless-technologies-ecosystems?team=SFTWR
23,Analog Design and Validation Engineer (m/f/d),Hardware,Munich,"Sep 28, 2022",https://jobs.apple.com/en-us/details/200389877/analog-design-and-validation-engineer-m-f-d?team=HRDWR
24,"AI/ML- Data Infrastructure Stream Processing Engineer, MLPT",Machine Learning and AI,Berlin,"Sep 27, 2022",https://jobs.apple.com/en-us/details/200429734/ai-ml-data-infrastructure-stream-processing-engineer-mlpt?team=MLAI
25,"Sr Business Development, Germany",Sales and Business Development,Munich,"Sep 27, 2022",https://jobs.apple.com/en-us/details/200401721/sr-business-development-germany?team=SLDEV
26,Silicon Validation Engineer (m/f/d),Hardware,Munich,"Sep 26, 2022",https://jobs.apple.com/en-us/details/200393376/silicon-validation-engineer-m-f-d?team=HRDWR
